hedId	Label	Type	Attributes	Description	EquivalentTo
HED_0011600	m-per-s^2	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret		StandardUnit and (hasUnitClass some accelerationUnits) and (allowedCharacter value "caret") and (conversionFactor value 1.0) and (SIUnit value true) and (unitSymbol value true)
HED_0011601	radian	StandardUnit	SIUnit, conversionFactor=1.0		StandardUnit and (hasUnitClass exactly 1 angleUnits) and (conversionFactor value 1.0)
HED_0011602	rad	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0		StandardUnit and (hasUnitClass exactly 1 angleUnits) and (conversionFactor value 1.0)
HED_0011603	degree	StandardUnit	conversionFactor=0.0174533		StandardUnit and (hasUnitClass exactly 1 angleUnits) and (conversionFactor value 0.0174533)
HED_0011604	m^2	StandardUnit	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret		StandardUnit and (hasUnitClass exactly 1 areaUnits) and (conversionFactor value 1.0)
HED_0011605	dollar	StandardUnit	conversionFactor=1.0		StandardUnit and (hasUnitClass exactly 1 currencyUnits) and (conversionFactor value 1.0)
HED_0011606	$	StandardUnit	unitPrefix, unitSymbol, conversionFactor=1.0, allowedCharacter=dollar		StandardUnit and (hasUnitClass exactly 1 currencyUnits) and (conversionFactor value 1.0)
HED_0011607	euro	StandardUnit		The official currency of a large subset of member countries of the European Union.	StandardUnit and (hasUnitClass exactly 1 currencyUnits)
HED_0011608	point	StandardUnit		An arbitrary unit of value, usually an integer indicating reward or penalty.	StandardUnit and (hasUnitClass exactly 1 currencyUnits)
HED_0011609	v	StandardUnit	SIUnit, unitSymbol, conversionFactor=0.000001		StandardUnit and (hasUnitClass exactly 1 electricPotentialUnits) and (conversionFactor value 0.000001)
HED_0011610	Volt	StandardUnit	SIUnit, conversionFactor=0.000001		StandardUnit and (hasUnitClass exactly 1 electricPotentialUnits) and (conversionFactor value 0.000001)
HED_0011611	hertz	StandardUnit	SIUnit, conversionFactor=1.0		StandardUnit and (hasUnitClass exactly 1 frequencylUnits) and (conversionFactor value 1.0)
