ID	Label	Type	Attributes	Description	EquivalentTo
HED_0011500	accelerationUnits	HedUnitClass	defaultUnits=m-per-s^2		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits value "m-per-s^2")
HED_0011501	angleUnits	HedUnitClass	defaultUnits=radian		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some m-per-s^2)
HED_0011502	areaUnits	HedUnitClass	defaultUnits=m^2		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some m^2)
HED_0011503	currencyUnits	HedUnitClass	defaultUnits=$	Units indicating the worth of something.	HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some $)
HED_0011504	electricPotentialUnits	HedUnitClass	defaultUnits=uv		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some uv)
HED_0011505	frequencyUnits	HedUnitClass	defaultUnits=Hz		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some Hz)
HED_0011506	intensityUnits	HedUnitClass	defaultUnits=dB		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some dB)
HED_0011507	jerkUnits	HedUnitClass	defaultUnits=m-per-s^3		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some m-per-s^3)
HED_0011508	magneticFieldUnits	HedUnitClass	defaultUnits=T		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some T)
HED_0011509	memorySizeUnits	HedUnitClass	defaultUnits=B		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some B)
HED_0011510	physicalLengthUnits	HedUnitClass	defaultUnits=m		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some m)
HED_0011511	speedUnits	HedUnitClass	defaultUnits=m-per-s		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some m-per-s)
HED_0011512	temperatureUnits	HedUnitClass	defaultUnits=degree-Celsius		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some degree-Celsius)
HED_0011513	timeUnits	HedUnitClass	defaultUnits=s		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some s)
HED_0011514	volumeUnits	HedUnitClass	defaultUnits=m^3		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some m^3)
HED_0011515	weightUnits	HedUnitClass	defaultUnits=g		HedUnitClass and (inSchemaSection exactly 1 StandardHedUnitClassDefinitionSection) and (defaultUnits some g)
