ID	Label	Type	Attributes	Description	EquivalentTo
HED_0011400 	deca	HedUnitModifier	SIUnitModifier, conversionFactor=10.0	SI unit multiple representing 10.	HedUnitlModifier and (SIUnitModifier value  "true"^^xsd:boolean) and (conversionFactor value 10.0^^xsd:float)
HED_0011401 	da	HedUnitModifier	SIUnitSymbolModifier, conversionFactor=10.0	SI unit multiple representing 10.	HedUnitlModifier and (SIUnitSymbolModifier value  "true"^^xsd:boolean) and (conversionFactor value 10.0^^xsd:float)
HED_0011402 	hecto	HedUnitModifier	SIUnitModifier, conversionFactor=100.0	SI unit multiple representing 100.	HedUnitlModifier and (SIUnitModifier value  "true"^^xsd:boolean)  and (conversionFactor value 100.0^^xsd:float)
HED_0011403 	h	HedUnitModifier	SIUnitSymbolModifier, conversionFactor=100.0	SI unit multiple representing 100.	HedUnitlModifier and (SIUnitSymbolModifier value  "true"^^xsd:boolean) and (conversionFactor value 100.0^^xsd:float)
HED_0011404 	kilo	HedUnitModifier	SIUnitModifier, conversionFactor=1000.0	SI unit multiple representing 10e3.	HedUnitlModifier and (SIUnitModifier value  "true"^^xsd:boolean) and (conversionFactor value 10e3^^xsd:float)
HED_0011405 	k	HedUnitModifier	SIUnitSymbolModifier, conversionFactor=1000.0	SI unit multiple representing 10e3.	HedUnitlModifier and (SIUnitSymbolModifier value  "true"^^xsd:boolean) and (conversionFactor value 10e3^^xsd:float)
HED_0011406 	mega	HedUnitModifier	SIUnitModifier, conversionFactor=10e6	SI unit multiple representing 10e6.	HedUnitlModifier and (SIUnitModifier value  "true"^^xsd:boolean) and (conversionFactor value 10e6^^xsd:float)
HED_0011407 	M	HedUnitModifier	SIUnitSymbolModifier, conversionFactor=10e6	SI unit multiple representing 10e6.	HedUnitlModifier and (SIUnitSymbolModifier value  "true"^^xsd:boolean) and (conversionFactor value 10e6^^xsd:float)
HED_0011408 	giga	HedUnitModifier	SIUnitModifier, conversionFactor=10e9	SI unit multiple representing 10e9.	HedUnitlModifier and (SIUnitModifier value  "true"^^xsd:boolean) and (conversionFactor value 10e9^^xsd:float)
HED_0011409 	G	HedUnitModifier	SIUnitSymbolModifier, conversionFactor=10e9	SI unit multiple representing 10e9.	HedUnitlModifier and (SIUnitSymbolModifier value  "true"^^xsd:boolean) and (conversionFactor value 10e9^^xsd:float)
HED_0011410 	tera	HedUnitModifier	SIUnitModifier, conversionFactor=10e12	SI unit multiple representing 10e12.	HedUnitlModifier and (SIUnitModifier value  "true"^^xsd:boolean) and (conversionFactor value 10e12^^xsd:float)
HED_0011411 	T	HedUnitModifier	SIUnitSymbolModifier, conversionFactor=10e12	SI unit multiple representing 10e12.	HedUnitlModifier and (SIUnitSymbolModifier value  "true"^^xsd:boolean) and (conversionFactor value 10e12^^xsd:float)
HED_0011412 	peta	HedUnitModifier	SIUnitModifier, conversionFactor=10e15	SI unit multiple representing 10e15.	HedUnitlModifier and (SIUnitModifier value  "true"^^xsd:boolean) and (conversionFactor value 10e15^^xsd:float)
HED_0011413 	P	HedUnitModifier	SIUnitSymbolModifier, conversionFactor=10e15	SI unit multiple representing 10e15.	HedUnitlModifier and (SIUnitSymbolModifier value  "true"^^xsd:boolean) and (conversionFactor value 10e15^^xsd:float)
