ID	Label	Type	Attributes	Description	EquivalentTo
HED_0011600	m-per-s^2	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret		HedUnit and (hasUnitType exactly 1  accelerationUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011601	radian	HedUnit	SIUnit, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 angleUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011602	rad	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 angleUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011603	degree	HedUnit	conversionFactor=0.0174533		HedUnit and (hasUnitType exactly 1 angleUnits) and (conversionFactor value 0.0174533^^xsd:float)
HED_0011604	m^2	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret		HedUnit and (hasUnitType exactly 1 areaUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011605	dollar	HedUnit	conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 currencyUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011606	$	HedUnit	unitPrefix, unitSymbol, conversionFactor=1.0, allowedCharacter=dollar		HedUnit and (hasUnitType exactly 1 currencyUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011607	euro	HedUnit		The official currency of a large subset of member countries of the European Union.	HedUnit and (hasUnitType exactly 1 currencyUnits)
HED_0011608	point	HedUnit		An arbitrary unit of value, usually an integer indicating reward or penalty.	HedUnit and (hasUnitType exactly 1 currencyUnits)
HED_0011609	v	HedUnit	SIUnit, unitSymbol, conversionFactor=0.000001		HedUnit and (hasUnitType exactly 1 electricPotentialUnits) and (conversionFactor value 0.000001^^xsd:float)
HED_0011610	Volt	HedUnit	SIUnit, conversionFactor=0.000001		HedUnit and (hasUnitType exactly 1 electricPotentialUnits) and (conversionFactor value 0.000001^^xsd:float)
HED_0011611	hertz	HedUnit	SIUnit, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 frequencylUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011612	Hz	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 frequencylUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011613	dB	HedUnit	unitSymbol, conversionFactor=1.0	Intensity expressed as ratio to a threshold. May be used for sound intensity.	HedUnit and (hasUnitType exactly 1 intensityUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011614	candela	HedUnit	SIUnit	Units used to express light intensity.	HedUnit and (hasUnitType exactly 1 intensitylUnits)
HED_0011615	cd	HedUnit	SIUnit, unitSymbol	Units used to express light intensity.	HedUnit and (hasUnitType exactly 1 intensitylUnits)
HED_0011616	m-per-s^3	HedUnit	unitSymbol, conversionFactor=1.0, allowedCharacter=caret		HedUnit and (hasUnitType exactly 1 jerklUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011617	tesla	HedUnit	SIUnit, conversionFactor=10e-15		HedUnit and (hasUnitType exactly 1 magneticFieldlUnits) and (conversionFactor value 10e-15^^xsd:float)
HED_0011618	T	HedUnit	SIUnit, unitSymbol, conversionFactor=10e-1		HedUnit and (hasUnitType exactly 1 magneticFieldlUnits) and (conversionFactor value 10e-15^^xsd:float)
HED_0011619	byte	HedUnit	SIUnit, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 memorySizeUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011620	B	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 memorySizeUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011621	foot	HedUnit	conversionFactor=0.304		HedUnit and (hasUnitType exactly 1  physicalLengthUnits) and (conversionFactor value 0.304^^xsd:float)
HED_0011622	inch	HedUnit	conversionFactor=0.025		HedUnit and (hasUnitType exactly 1 physicalLengthUnits) and (conversionFactor value 0.025^^xsd:float)
HED_0011623	meter	HedUnit	SIUnit, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1  physicalLengthUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011624	metre	HedUnit	SIUnit, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 physicalLengthUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011625	m	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 physicalLengthUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011626	mile	HedUnit	conversionFactor=1609.34		HedUnit and (hasUnitType exactly 1 physicalLengthUnits) and (conversionFactor value 1609.34^^xsd:float)
HED_0011627	m-per-s	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 speedUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011628	mph	HedUnit	unitSymbol, conversionFactor=0.44704		HedUnit and (hasUnitType exactly 1 speedUnits) and (conversionFactor value 0.44704^^xsd:float)
HED_0011629	kph	HedUnit	unitSymbol, conversionFactor=0.277778		HedUnit and (hasUnitType exactly 1 speedUnits) and (conversionFactor value 0.277778^^xsd:float)
HED_0011630	degree-Celsius	HedUnit	SIUnit, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 temperatureUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011631	degree Celsius	HedUnit	deprecatedFrom=8.2.0, SIUnit, conversionFactor=1.0	Units are not allowed to have spaces. Use degree-Celsius or oC instead.	HedUnit and (hasUnitType exactly 1 temperatureUnits) and (conversionFactor value 1.0^^xsd:float) and (deprecatedFrom value "8.2.0"^^xsd:string)
HED_0011632	oC	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 temperatureUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011633	second	HedUnit	SIUnit, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 timeUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011634	s	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 timeUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011635	day	HedUnit	conversionFactor=86400		HedUnit and (hasUnitType exactly 1 timeUnits) and (conversionFactor value 86400^^xsd:float)
HED_0011636	minute	HedUnit	conversionFactor=60		HedUnit and (hasUnitType exactly 1 timeUnits) and (conversionFactor value 60^^xsd:float)
HED_0011637	hour	HedUnit	conversionFactor=3600		HedUnit and (hasUnitType exactly 1 timeUnits) and (conversionFactor value 3600^^xsd:float)
HED_0011638	year	HedUnit		Years do not have a constant conversion factor to seconds.	HedUnit and (hasUnitType exactly 1 timeUnits)
HED_0011639	m^3	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret		HedUnit and (hasUnitType exactly 1 volumeUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011640	g	HedUnit	SIUnit, unitSymbol, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 weightUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011641	gram	HedUnit	SIUnit, conversionFactor=1.0		HedUnit and (hasUnitType exactly 1 volumeUnits) and (conversionFactor value 1.0^^xsd:float)
HED_0011642	pound	HedUnit	conversionFactor=453.592		HedUnit and (hasUnitType exactly 1 volumeUnits) and (conversionFactor value 453.592^^xsd:float)
HED_0011643	lb	HedUnit	conversionFactor=453.592		HedUnit and (hasUnitType exactly 1 volumeUnits) and (conversionFactor value 453.592^^xsd:float)
