hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description	omn:EquivalentTo	rdfs:comment	dc:source
HED_0012001	0	Event	HedTag	suggestedTag=Task-property, hedId=HED_0012001	Something that happens at a given time and (typically) place. Elements of this tag subtree designate the general category in which an event falls.	HedTag and (suggestedTag some Task-property)	...	...
HED_0012002	1	Sensory-event	Event	suggestedTag=Task-event-role, suggestedTag=Sensory-presentation, hedId=HED_0012002	Something perceivable by the participant. An event meant to be an experimental stimulus should include the tag Task-property/Task-event-role/Experimental-stimulus.			
HED_0012003	1	Agent-action	Event	suggestedTag=Task-event-role, suggestedTag=Agent, hedId=HED_0012003	Any action engaged in by an agent (see the Agent subtree for agent categories). A participant response to an experiment stimulus should include the tag Agent-property/Agent-task-role/Experiment-participant.			
HED_0012004	1	Data-feature	Event	suggestedTag=Data-property, hedId=HED_0012004	An event marking the occurrence of a data feature such as an interictal spike or alpha burst that is often added post hoc to the data record.			
HED_0012005	1	Experiment-control	Event	hedId=HED_0012005	An event pertaining to the physical control of the experiment during its operation.			
HED_0012006	1	Experiment-procedure	Event	hedId=HED_0012006	An event indicating an experimental procedure, as in performing a saliva swab during the experiment or administering a survey.			
HED_0012007	1	Experiment-structure	Event	hedId=HED_0012007	An event specifying a change-point of the structure of experiment. This event is typically used to indicate a change in experimental conditions or tasks.			
HED_0012008	1	Measurement-event	Event	suggestedTag=Data-property, hedId=HED_0012008	A discrete measure returned by an instrument.			
HED_0012009	0	Agent	HedTag	suggestedTag=Agent-property, hedId=HED_0012009	Someone or something that takes an active role or produces a specified effect.The role or effect may be implicit. Being alive or performing an activity such as a computation may qualify something to be an agent. An agent may also be something that simulates something else.			
HED_0012010	1	Animal-agent	Agent	hedId=HED_0012010	An agent that is an animal.			
HED_0012011	1	Avatar-agent	Agent	hedId=HED_0012011	An agent associated with an icon or avatar representing another agent.			
HED_0012012	1	Controller-agent	Agent	hedId=HED_0012012	Experiment control software or hardware.			
HED_0012013	1	Human-agent	Agent	hedId=HED_0012013	A person who takes an active role or produces a specified effect.			
HED_0012014	1	Robotic-agent	Agent	hedId=HED_0012014	An agent mechanical device capable of performing a variety of often complex tasks on command or by being programmed in advance.			
HED_0012015	1	Software-agent	Agent	hedId=HED_0012015	An agent computer program that interacts with the participant in an active role such as an AI advisor.			
HED_0012016	0	Action	HedTag	extensionAllowed, hedId=HED_0012016	Do something.			
HED_0012017	1	Communicate	Action	hedId=HED_0012017	Action conveying knowledge of or about something.			
HED_0012018	2	Communicate-gesturally	Communicate	relatedTag=Move-face, relatedTag=Move-upper-extremity, hedId=HED_0012018	Communicate nonverbally using visible bodily actions, either in place of speech or together and in parallel with spoken words. Gestures include movement of the hands, face, or other parts of the body.			
HED_0012019	3	Clap-hands	Communicate-gesturally	hedId=HED_0012019	Strike the palms of against one another resoundingly, and usually repeatedly, especially to express approval.			
