hedId	rdfs:label	Type	omn:Domain	omn:Range	Properties	dc:description
hed:HED_0010304	allowedCharacter	DataProperty	hed:HED_0000007 or hed:HED_0000008 or hed:HED_0000009	string	unitDomain, unitModifierDomain, valueClassDomain, stringRange	A special character that is allowed in expressing the value of a placeholder of a specified value class. Allowed characters may be listed individual, named individually, or named as a group as specified in Section 2.2 Character sets and restrictions of the HED specification.
hed:HED_0010305	conversionFactor	DataProperty	hed:HED_0000007 or hed:HED_0000008	float	unitDomain, unitModifierDomain, numericRange	The factor to multiply these units or unit modifiers by to convert to default units.
hed:HED_0010306	deprecatedFrom	DataProperty	hed:HED_0000003	string	elementDomain, stringRange	The latest schema version in which the element was not deprecated.
hed:HED_0010307	extensionAllowed	DataProperty	hed:HED_0000007	boolean	tagDomain, boolRange	Users can add unlimited levels of child nodes under this tag. This tag is propagated to child nodes except for hashtag placeholders.
hed:HED_0010309	inLibrary	DataProperty	hed:HED_0000003	string	elementDomain, stringRange	The named library schema that this schema element is from. This attribute is added by tools when a library schema is merged into its partnered standard schema.
hed:HED_0010310	reserved	DataProperty	hed:HED_0000007	boolean	tagDomain, boolRange	This tag has special meaning and requires special handling by tools.
hed:HED_0010311	SIUnit	DataProperty	hed:HED_0000007	boolean	unitDomain, boolRange	This unit element is an SI unit and can be modified by multiple and sub-multiple names. Note that some units such as byte are designated as SI units although they are not part of the standard.
hed:HED_0010312	SIUnitModifier	DataProperty	hed:HED_0000008	boolean	unitModifierDomain, boolRange	This SI unit modifier represents a multiple or sub-multiple of a base unit rather than a unit symbol.
hed:HED_0010313	SIUnitSymbolModifier	DataProperty	hed:HED_0000008	boolean	unitModifierDomain, boolRange	This SI unit modifier represents a multiple or sub-multiple of a unit symbol rather than a base symbol.
hed:HED_0010314	tagGroup	DataProperty	hed:HED_0000007	boolean	tagDomain, boolRange	This tag can only appear inside a tag group.
hed:HED_0010315	topLevelTagGroup	DataProperty	hed:HED_0000007	boolean	tagDomain, boolRange	This tag (or its descendants) can only appear in a top-level tag group. There are additional tag-specific restrictions on what other tags can appear in the group with this tag.
hed:HED_0010316	unique	DataProperty	hed:HED_0000007	boolean	tagDomain, boolRange	Only one of this tag or its descendants can be used in the event-level HED string.
hed:HED_0010317	unitPrefix	DataProperty	hed:HED_0000007	boolean	unitDomain, boolRange	This unit is a prefix unit (e.g., dollar sign in the currency units).
hed:HED_0010318	unitSymbol	DataProperty	hed:HED_0000007	boolean	unitDomain, boolRange	This tag is an abbreviation or symbol representing a type of unit. Unit symbols represent both the singular and the plural and thus cannot be pluralized.
