hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description	owm:EquivalentTo	omn:EquivalentTo	rdfs:comment	dc:source
hed:HED_0012001	0	Event	hed:HED_0000005	suggestedTag=Task-property	Something that happens at a given time and (typically) place. Elements of this tag subtree designate the general category in which an event falls.	hed:HED_0000005 and (hed:HED_0010106 some hed:HED_0013062) and (hed:HED_0000102 some hed:HED_0010004)	HedTag and (suggestedTag some Task-property)	...	...
hed:HED_0012002	1	Sensory-event	hed:HED_0012001	suggestedTag=Task-event-role, suggestedTag=Sensory-presentation	Something perceivable by the participant. An event meant to be an experimental stimulus should include the tag Task-property/Task-event-role/Experimental-stimulus.	hed:HED_0012001 and (hed:HED_0010106 some hed:HED_0013092) and (hed:HED_0010106 some hed:HED_0013039)	Event and (suggestedTag some Task-event-role) and (suggestedTag some Sensory-presentation)		
hed:HED_0012003	1	Agent-action	hed:HED_0012001	suggestedTag=Task-event-role, suggestedTag=Agent	Any action engaged in by an agent (see the Agent subtree for agent categories). A participant response to an experiment stimulus should include the tag Agent-property/Agent-task-role/Experiment-participant.	hed:HED_0012001 and (hed:HED_0010106 some hed:HED_0013092) and (hed:HED_0010106 some hed:HED_0012009)			
hed:HED_0012004	1	Data-feature	hed:HED_0012001	suggestedTag=Data-property	An event marking the occurrence of a data feature such as an interictal spike or alpha burst that is often added post hoc to the data record.	hed:HED_0012001 and (hed:HED_0010106 some hed:HED_0012492)			
hed:HED_0012005	1	Experiment-control	hed:HED_0012001		An event pertaining to the physical control of the experiment during its operation.	hed:HED_0012001			
hed:HED_0012006	1	Experiment-procedure	hed:HED_0012001		An event indicating an experimental procedure, as in performing a saliva swab during the experiment or administering a survey.	hed:HED_0012001			
hed:HED_0012007	1	Experiment-structure	hed:HED_0012001		An event specifying a change-point of the structure of experiment. This event is typically used to indicate a change in experimental conditions or tasks.	hed:HED_0012001			
hed:HED_0012008	1	Measurement-event	hed:HED_0012001	suggestedTag=Data-property	A discrete measure returned by an instrument.	hed:HED_0012001 and (hed:HED_0010106 some hed:HED_0012492)			
hed:HED_0012009	0	Agent	hed:HED_0000005	suggestedTag=Agent-property	Someone or something that takes an active role or produces a specified effect.The role or effect may be implicit. Being alive or performing an activity such as a computation may qualify something to be an agent. An agent may also be something that simulates something else.	hed:HED_0000005 and (hed:HED_0010106 some hed:HED_0012413) and (hed:HED_0000102 some hed:HED_0010004)			
hed:HED_0012010	1	Animal-agent	hed:HED_0012009		An agent that is an animal.	hed:HED_0012009			
hed:HED_0012011	1	Avatar-agent	hed:HED_0012009		An agent associated with an icon or avatar representing another agent.	hed:HED_0012009			
hed:HED_0012012	1	Controller-agent	hed:HED_0012009		Experiment control software or hardware.	hed:HED_0012009			
hed:HED_0012013	1	Human-agent	hed:HED_0012009		A person who takes an active role or produces a specified effect.	hed:HED_0012009			
hed:HED_0012014	1	Robotic-agent	hed:HED_0012009		An agent mechanical device capable of performing a variety of often complex tasks on command or by being programmed in advance.	hed:HED_0012009			
hed:HED_0012015	1	Software-agent	hed:HED_0012009		An agent computer program that interacts with the participant in an active role such as an AI advisor.	hed:HED_0012009			
hed:HED_0012016	0	Action	hed:HED_0000005	extensionAllowed	Do something.	hed:HED_0000005 and (hed:HED_0010307 value true) and (hed:HED_0000102 some hed:HED_0010004)			
hed:HED_0012017	1	Communicate	hed:HED_0012016		Action conveying knowledge of or about something.	hed:HED_0012016			
hed:HED_0012018	2	Communicate-gesturally	hed:HED_0012017	relatedTag=Move-face, relatedTag=Move-upper-extremity	Communicate nonverbally using visible bodily actions, either in place of speech or together and in parallel with spoken words. Gestures include movement of the hands, face, or other parts of the body.	hed:HED_0012017 and (hed:HED_0010105 some hed:HED_0012087) and (hed:HED_0010105 some hed:HED_0012114)			
hed:HED_0012019	3	Clap-hands	hed:HED_0012018		Strike the palms of against one another resoundingly, and usually repeatedly, especially to express approval.	hed:HED_0012018			
hed:HED_0012020	3	Clear-throat	hed:HED_0012018	relatedTag=Move-face, relatedTag=Move-head	Cough slightly so as to speak more clearly, attract attention, or to express hesitancy before saying something awkward.	hed:HED_0012018 and (hed:HED_0010105 some hed:HED_0012087) and (hed:HED_0010105 some hed:HED_0012095)			
