hedId	rdfs:label	omn:SubClassOf	hasUnitClass	Attributes	dc:description	owm:EquivalentTo
hed:HED_0011600	m-per-s^2	hed:HED_0010007	HED_0011500	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret		"hed:HED_0010007 and (hed:HED_0010311 value true) and (hed:HED_0010318 value true) and (hed:HED_0010305 value 1.0) and (hed:HED_0010304 value ""caret"") and (hed:HED_0000103 some hed:HED_0011500)"
hed:HED_0011601	radian	hed:HED_0010007	HED_0011501	SIUnit, conversionFactor=1.0		hed:HED_0010007 and (hed:HED_0010311 value true) and (hed:HED_0010305 value 1.0) and (hed:HED_0000103 some hed:HED_0011501)
hed:HED_0011602	rad	hed:HED_0010007	HED_0011501	SIUnit, unitSymbol, conversionFactor=1.0		hed:HED_0010007 and (hed:HED_0010311 value true) and (hed:HED_0010318 value true) and (hed:HED_0010305 value 1.0) and (hed:HED_0000103 some hed:HED_0011501)
hed:HED_0011603	degree	hed:HED_0010007	HED_0011501	conversionFactor=0.0174533		hed:HED_0010007 and (hed:HED_0010305 value 0.0174533) and (hed:HED_0000103 some hed:HED_0011501)
hed:HED_0011604	m^2	hed:HED_0010007	HED_0011502	SIUnit, unitSymbol, conversionFactor=1.0, allowedCharacter=caret		"hed:HED_0010007 and (hed:HED_0010311 value true) and (hed:HED_0010318 value true) and (hed:HED_0010305 value 1.0) and (hed:HED_0010304 value ""caret"") and (hed:HED_0000103 some hed:HED_0011502)"
hed:HED_0011605	dollar	hed:HED_0010007	HED_0011503	conversionFactor=1.0		hed:HED_0010007 and (hed:HED_0010305 value 1.0) and (hed:HED_0000103 some hed:HED_0011503)
hed:HED_0011606	$	hed:HED_0010007	HED_0011503	unitPrefix, unitSymbol, conversionFactor=1.0, allowedCharacter=dollar		"hed:HED_0010007 and (hed:HED_0010317 value true) and (hed:HED_0010318 value true) and (hed:HED_0010305 value 1.0) and (hed:HED_0010304 value ""dollar"") and (hed:HED_0000103 some hed:HED_0011503)"
hed:HED_0011607	euro	hed:HED_0010007	HED_0011503		The official currency of a large subset of member countries of the European Union.	hed:HED_0010007 and (hed:HED_0000103 some hed:HED_0011503)
hed:HED_0011608	point	hed:HED_0010007	HED_0011503		An arbitrary unit of value, usually an integer indicating reward or penalty.	hed:HED_0010007 and (hed:HED_0000103 some hed:HED_0011503)
hed:HED_0011609	v	hed:HED_0010007	HED_0011504	SIUnit, unitSymbol, conversionFactor=0.000001		hed:HED_0010007 and (hed:HED_0010311 value true) and (hed:HED_0010318 value true) and (hed:HED_0010305 value 0.000001) and (hed:HED_0000103 some hed:HED_0011504)
hed:0011644	uv	hed:HED_0010007	HED_0011504	conversionFactor=1.0	Added as a direct unit because it is the default unit.	hed:HED_0010007 and (hed:HED_0010305 value 1.0) and (hed:HED_0000103 some hed:HED_0011504)
hed:HED_0011610	Volt	hed:HED_0010007	HED_0011504	SIUnit, conversionFactor=0.000001		hed:HED_0010007 and (hed:HED_0010311 value true) and (hed:HED_0010305 value 0.000001) and (hed:HED_0000103 some hed:HED_0011504)
hed:HED_0011611	hertz	hed:HED_0010007	HED_0011505	SIUnit, conversionFactor=1.0		hed:HED_0010007 and (hed:HED_0010311 value true) and (hed:HED_0010305 value 1.0) and (hed:HED_0000103 some hed:HED_0011505)
hed:HED_0011612	Hz	hed:HED_0010007	HED_0011505	SIUnit, unitSymbol, conversionFactor=1.0		hed:HED_0010007 and (hed:HED_0010311 value true) and (hed:HED_0010318 value true) and (hed:HED_0010305 value 1.0) and (hed:HED_0000103 some hed:HED_0011505)
hed:HED_0011613	dB	hed:HED_0010007	HED_0011506	unitSymbol, conversionFactor=1.0	Intensity expressed as ratio to a threshold. May be used for sound intensity.	hed:HED_0010007 and (hed:HED_0010318 value true) and (hed:HED_0010305 value 1.0) and (hed:HED_0000103 some hed:HED_0011506)
hed:HED_0011614	candela	hed:HED_0010007	HED_0011506	SIUnit	Units used to express light intensity.	hed:HED_0010007 and (hed:HED_0010311 value true) and (hed:HED_0000103 some hed:HED_0011506)
hed:HED_0011615	cd	hed:HED_0010007	HED_0011506	SIUnit, unitSymbol	Units used to express light intensity.	hed:HED_0010007 and (hed:HED_0010311 value true) and (hed:HED_0010318 value true) and (hed:HED_0000103 some hed:HED_0011506)
hed:HED_0011616	m-per-s^3	hed:HED_0010007	HED_0011507	unitSymbol, conversionFactor=1.0, allowedCharacter=caret		"hed:HED_0010007 and (hed:HED_0010318 value true) and (hed:HED_0010305 value 1.0) and (hed:HED_0010304 value ""caret"") and (hed:HED_0000103 some hed:HED_0011507)"
