hedId	rdfs:label	omn:SubClassOf	Attributes	dc:description	owm:EquivalentTo
hed:HED_0011500	accelerationUnits	hed:HED_0010006	defaultUnits=m-per-s^2		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011600)
hed:HED_0011501	angleUnits	hed:HED_0010006	defaultUnits=radian		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011601)
hed:HED_0011502	areaUnits	hed:HED_0010006	defaultUnits=m^2		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011604)
hed:HED_0011503	currencyUnits	hed:HED_0010006	defaultUnits=$	Units indicating the worth of something.	hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011606)
hed:HED_0011504	electricPotentialUnits	hed:HED_0010006	defaultUnits=uv		hed:HED_0010006 and (hed:HED_0010104 some hed:0011644)
hed:HED_0011505	frequencyUnits	hed:HED_0010006	defaultUnits=Hz		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011612)
hed:HED_0011506	intensityUnits	hed:HED_0010006	defaultUnits=dB		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011613)
hed:HED_0011507	jerkUnits	hed:HED_0010006	defaultUnits=m-per-s^3		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011616)
hed:HED_0011508	magneticFieldUnits	hed:HED_0010006	defaultUnits=T		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011618)
hed:HED_0011509	memorySizeUnits	hed:HED_0010006	defaultUnits=B		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011620)
hed:HED_0011510	physicalLengthUnits	hed:HED_0010006	defaultUnits=m		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011625)
hed:HED_0011511	speedUnits	hed:HED_0010006	defaultUnits=m-per-s		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011627)
hed:HED_0011512	temperatureUnits	hed:HED_0010006	defaultUnits=degree-Celsius		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011630)
hed:HED_0011513	timeUnits	hed:HED_0010006	defaultUnits=s		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011634)
hed:HED_0011514	volumeUnits	hed:HED_0010006	defaultUnits=m^3		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011639)
hed:HED_0011515	weightUnits	hed:HED_0010006	defaultUnits=g		hed:HED_0010006 and (hed:HED_0010104 some hed:HED_0011640)
