hedId	rdfs:label	omn:SubClassOf	Attributes	dc:description	owm:EquivalentTo
hed:HED_0011400	deca	hed:HED_0010008	SIUnitModifier, conversionFactor=10.0	SI unit multiple representing 10e1.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10.0)
hed:HED_0011401	da	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=10.0	SI unit multiple representing 10e1.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 10.0)
hed:HED_0011402	hecto	hed:HED_0010008	SIUnitModifier, conversionFactor=100.0	SI unit multiple representing 10e2.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 100.0)
hed:HED_0011403	h	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=100.0	SI unit multiple representing 10e2.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 100.0)
hed:HED_0011404	kilo	hed:HED_0010008	SIUnitModifier, conversionFactor=1000.0	SI unit multiple representing 10e3.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 1000.0)
hed:HED_0011405	k	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=1000.0	SI unit multiple representing 10e3.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 1000.0)
hed:HED_0011406	mega	hed:HED_0010008	SIUnitModifier, conversionFactor=10e6	SI unit multiple representing 10e6.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10e6)
hed:HED_0011407	M	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=10e6	SI unit multiple representing 10e6.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 10e6)
hed:HED_0011408	giga	hed:HED_0010008	SIUnitModifier, conversionFactor=10e9	SI unit multiple representing 10e9.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10e9)
hed:HED_0011409	G	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=10e9	SI unit multiple representing 10e9.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 10e9)
hed:HED_0011410	tera	hed:HED_0010008	SIUnitModifier, conversionFactor=10e12	SI unit multiple representing 10e12.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10e12)
hed:HED_0011411	T	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=10e12	SI unit multiple representing 10e12.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 10e12)
hed:HED_0011412	peta	hed:HED_0010008	SIUnitModifier, conversionFactor=10e15	SI unit multiple representing 10e15.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10e15)
hed:HED_0011413	P	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=10e15	SI unit multiple representing 10e15.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 10e15)
hed:HED_0011414	exa	hed:HED_0010008	SIUnitModifier, conversionFactor=10e18	SI unit multiple representing 10e18.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10e18)
hed:HED_0011415	E	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=10e18	SI unit multiple representing 10e18.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 10e18)
hed:HED_0011416	zetta	hed:HED_0010008	SIUnitModifier, conversionFactor=10e21	SI unit multiple representing 10e21.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10e21)
hed:HED_0011417	Z	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=10e21	SI unit multiple representing 10e21.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 10e21)
hed:HED_0011418	yotta	hed:HED_0010008	SIUnitModifier, conversionFactor=10e24	SI unit multiple representing 10e24.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10e24)
hed:HED_0011419	Y	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=10e24	SI unit multiple representing 10e24.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 10e24)
hed:HED_0011420	deci	hed:HED_0010008	SIUnitModifier, conversionFactor=0.1	SI unit submultiple representing 10e-1.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 0.1)
hed:HED_0011421	d	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=0.1	SI unit submultiple representing 10e-1.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 0.1)
hed:HED_0011422	centi	hed:HED_0010008	SIUnitModifier, conversionFactor=0.01	SI unit submultiple representing 10e-2.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 0.01)
hed:HED_0011423	c	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=0.01	SI unit submultiple representing 10e-2.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 0.01)
hed:HED_0011424	milli	hed:HED_0010008	SIUnitModifier, conversionFactor=0.001	SI unit submultiple representing 10e-3.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 0.001)
hed:HED_0011425	m	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=0.001	SI unit submultiple representing 10e-3.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 0.001)
hed:HED_0011426	micro	hed:HED_0010008	SIUnitModifier, conversionFactor=10e-6	SI unit submultiple representing 10e-6.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10e-6)
hed:HED_0011427	u	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=10e-6	SI unit submultiple representing 10e-6.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 10e-6)
hed:HED_0011428	nano	hed:HED_0010008	SIUnitModifier, conversionFactor=10e-9	SI unit submultiple representing 10e-9.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10e-9)
hed:HED_0011429	n	hed:HED_0010008	SIUnitSymbolModifier, conversionFactor=10e-9	SI unit submultiple representing 10e-9.	hed:HED_0010008 and (hed:HED_0010313 value true) and (hed:HED_0010305 value 10e-9)
hed:HED_0011430	pico	hed:HED_0010008	SIUnitModifier, conversionFactor=10e-12	SI unit submultiple representing 10e-12.	hed:HED_0010008 and (hed:HED_0010312 value true) and (hed:HED_0010305 value 10e-12)
